ApplicationURL,calle,ciudad,codpostal,correo,nombre,telefono
https://vlfsports.odoo.com/,34,Bogota,56,valeria@gmail.com,valeria,3003667232
https://vlfsports.odoo.com/,67,Barranquilla,57,juan@gmail.com,juan,3003667236
https://vlfsports.odoo.com/,23,Medellín,87,val@gmail.com,val,3003677232
https://vlfsports.odoo.com/,24,Cali,56,miguel@gmail.com,miguel,3043667232
https://vlfsports.odoo.com/,2,Bogota,43,felime@gmail.com,felipe,3007667232
https://vlfsports.odoo.com/,3,Barranquilla,34,leo@gmail.com,leonardo,3003647232
https://vlfsports.odoo.com/,4,Medellín,54,ana@gmail.com,ana,3003667234
https://vlfsports.odoo.com/,53,Cali,34,camilo@gmail.com,camilo,3003657232
https://vlfsports.odoo.com/,45,Bogota,32,mario@gmail.com,mario,3003667267
https://vlfsports.odoo.com/,3,Barranquilla,22,valentina@gmail.com,valentina,3003667287
