ApplicationURL,calle,ciudad,codpostal,correo,nombre
https://vlfsports.odoo.com/,34,Bogota,56,valeria@gmail.com,valeria
https://vlfsports.odoo.com/,67,Barranquilla,57,juan@gmail.com,juan
https://vlfsports.odoo.com/,23,Medellín,87,val@gmail.com,val 
https://vlfsports.odoo.com/,24,Cali,56,miguel@gmail.com,miguel
https://vlfsports.odoo.com/,2,Bogota,43,felime@gmail.com,felipe
https://vlfsports.odoo.com/,3,Barranquilla,34,leo@gmail.com,leonardo
https://vlfsports.odoo.com/,4,Medellín,54,ana@gmail.com,ana
https://vlfsports.odoo.com/,53,Cali,34,camilo@gmail.com,camilo
https://vlfsports.odoo.com/,45,Bogota,32,mario@gmail.com,mario
https://vlfsports.odoo.com/,3,Barranquilla,22,valentina@gmail.com,valentina
